tool,query,mpi_ranks,omp_threads,repeat,elapsed_seconds,internal_elapsed_seconds,directories,files,bytes_read,matches,errors
find,target,1,1,0,0.132977,0.132977,,,,4749,0
grep,distributed_needle,1,1,0,0.501735,0.501735,,,,3800,0
pfind_serial,target,1,1,0,0.261005,0.257302,21845,87380,0,4749,0
pgrep_serial,distributed_needle,1,1,0,0.896537,0.885823,21845,87380,716237067,3800,0
pfind_omp,target,1,1,0,0.287625,0.283946,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,1,0,0.954900,0.943594,21845,87380,716237067,3800,0
pfind_omp,target,1,2,0,0.139131,0.135636,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,2,0,0.555926,0.542704,21845,87380,716237067,3800,0
pfind_omp,target,1,4,0,0.085596,0.081026,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,4,0,0.345240,0.330950,21845,87380,716237067,3800,0
pfind_omp,target,1,8,0,0.058500,0.053520,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,8,0,0.255115,0.237420,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,1,0,0.588439,0.279204,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,1,0,1.248285,0.931348,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,2,0,0.446585,0.142252,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,2,0,0.861249,0.549122,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,4,0,0.446291,0.143553,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,4,0,0.850065,0.540729,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,8,0,0.442335,0.137773,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,8,0,0.813298,0.504738,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,1,0,0.461967,0.157970,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,1,0,0.928751,0.618449,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,2,0,0.402600,0.096607,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,2,0,0.676585,0.365068,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,4,0,0.383101,0.081717,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,4,0,0.620518,0.311665,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,8,0,0.407246,0.079829,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,8,0,0.598343,0.293142,21845,87380,716237067,3800,0
find,target,1,1,1,0.136918,0.136918,,,,4749,0
grep,distributed_needle,1,1,1,0.492811,0.492811,,,,3800,0
pfind_serial,target,1,1,1,0.260464,0.256241,21845,87380,0,4749,0
pgrep_serial,distributed_needle,1,1,1,0.837156,0.826529,21845,87380,716237067,3800,0
pfind_omp,target,1,1,1,0.267094,0.263824,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,1,1,0.890172,0.880250,21845,87380,716237067,3800,0
pfind_omp,target,1,2,1,0.147730,0.143866,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,2,1,0.532835,0.521142,21845,87380,716237067,3800,0
pfind_omp,target,1,4,1,0.083582,0.079633,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,4,1,0.316207,0.302420,21845,87380,716237067,3800,0
pfind_omp,target,1,8,1,0.060574,0.054900,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,8,1,0.258394,0.243007,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,1,1,0.558347,0.256591,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,1,1,1.204803,0.894586,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,2,1,0.438256,0.136981,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,2,1,0.813335,0.500394,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,4,1,0.439182,0.139107,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,4,1,0.802457,0.494608,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,8,1,0.439769,0.141500,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,8,1,0.835630,0.523029,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,1,1,0.468604,0.165532,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,1,1,0.872776,0.564033,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,2,1,0.399267,0.091652,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,2,1,0.663878,0.355446,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,4,1,0.379845,0.076702,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,4,1,0.606524,0.299874,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,8,1,0.384725,0.083770,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,8,1,0.617765,0.308919,21845,87380,716237067,3800,0
find,target,1,1,2,0.134928,0.134928,,,,4749,0
grep,distributed_needle,1,1,2,0.496113,0.496113,,,,3800,0
pfind_serial,target,1,1,2,0.266453,0.262306,21845,87380,0,4749,0
pgrep_serial,distributed_needle,1,1,2,0.842057,0.831366,21845,87380,716237067,3800,0
pfind_omp,target,1,1,2,0.261490,0.258220,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,1,2,0.916564,0.905704,21845,87380,716237067,3800,0
pfind_omp,target,1,2,2,0.140863,0.137251,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,2,2,0.539945,0.528686,21845,87380,716237067,3800,0
pfind_omp,target,1,4,2,0.089713,0.085893,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,4,2,0.341668,0.328325,21845,87380,716237067,3800,0
pfind_omp,target,1,8,2,0.061605,0.055389,21845,87380,0,4749,0
pgrep_omp,distributed_needle,1,8,2,0.263073,0.249729,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,1,2,0.589100,0.280510,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,1,2,1.207908,0.894215,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,2,2,0.455286,0.156163,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,2,2,0.872763,0.560142,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,4,2,0.442912,0.141935,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,4,2,0.829804,0.519601,21845,87380,716237067,3800,0
pfind_mpi_omp,target,1,8,2,0.446099,0.145964,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,1,8,2,0.826716,0.516841,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,1,2,0.473107,0.167146,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,1,2,0.884451,0.579048,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,2,2,0.403086,0.099015,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,2,2,0.665033,0.355002,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,4,2,0.390643,0.083049,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,4,2,0.617153,0.305925,21845,87380,716237067,3800,0
pfind_mpi_omp,target,2,8,2,0.386728,0.082954,21845,87380,0,4749,0
pgrep_mpi_omp,distributed_needle,2,8,2,0.624469,0.318691,21845,87380,716237067,3800,0
