tool,query,mpi_ranks,omp_threads,repeat,elapsed_seconds,internal_elapsed_seconds,directories,files,bytes_read,matches,errors
find,target,1,1,0,0.003212,0.003212,,,,166,0
grep,distributed_needle,1,1,0,1.088460,1.088460,,,,133,0
pfind_serial,target,1,1,0,0.004981,0.003740,364,1456,0,166,0
pgrep_serial,distributed_needle,1,1,0,1.853010,1.851544,364,1456,3733742592,133,0
pfind_omp,target,1,1,0,0.005721,0.004200,364,1456,0,166,0
pgrep_omp,distributed_needle,1,1,0,1.846929,1.845109,364,1456,3733742592,133,0
pfind_omp,target,1,2,0,0.003828,0.002200,364,1456,0,166,0
pgrep_omp,distributed_needle,1,2,0,0.789107,0.786851,364,1456,3733742592,133,0
pfind_omp,target,1,4,0,0.003358,0.001622,364,1456,0,166,0
pgrep_omp,distributed_needle,1,4,0,0.407798,0.405566,364,1456,3733742592,133,0
pfind_omp,target,1,8,0,0.003360,0.001689,364,1456,0,166,0
pgrep_omp,distributed_needle,1,8,0,0.224719,0.221897,364,1456,3733742592,133,0
pfind_mpi_omp,target,1,1,0,0.305475,0.003746,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,1,1,0,2.213017,1.916194,364,1456,3733742592,133,0
pfind_mpi_omp,target,1,2,0,0.301025,0.002330,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,1,2,0,1.063200,0.764755,364,1456,3733742592,133,0
pfind_mpi_omp,target,1,4,0,0.299947,0.002309,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,1,4,0,1.008460,0.710753,364,1456,3733742592,133,0
pfind_mpi_omp,target,1,8,0,0.304226,0.002295,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,1,8,0,1.131900,0.831181,364,1456,3733742592,133,0
pfind_mpi_omp,target,2,1,0,0.299499,0.001955,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,2,1,0,1.355764,1.057778,364,1456,3733742592,133,0
